id,fecha,ejercicio,sets,reps,peso,nota
153,2025-12-05,Press francés,5,2,50.5,Buena técnica
154,2026-05-17,Press militar,1,5,95.5,RPE 9
155,2025-10-26,Peso muerto,5,9,22.0,Fácil
156,2025-11-27,Fondos lastrados,1,1,146.0,RPE 9
157,2026-02-25,Press de banca,4,1,77.0,RPE 9
158,2026-01-29,Fondos lastrados,1,3,39.0,Normal
159,2026-06-20,Dominadas lastradas,4,2,123.5,Buen estímulo
160,2026-04-10,Dominadas lastradas,2,3,31.5,RPE 9
161,2025-08-09,Sentadilla,1,11,112.5,Buen estímulo
162,2026-03-20,Elevaciones laterales,1,6,101.0,Pesado
163,2026-06-25,Remo con barra,1,2,41.0,Fácil
164,2025-11-20,Elevaciones laterales,3,4,146.5,Fallo cerca
165,2026-03-18,Dominadas lastradas,5,14,143.5,Fácil
166,2025-12-11,Press militar,1,7,131.5,Fallo cerca
167,2025-09-15,Curl de bíceps,1,5,101.0,Pesado
168,2026-01-03,Curl de bíceps,4,15,80.5,Fallo cerca
169,2025-10-22,Sentadilla,5,7,126.0,Normal
170,2026-04-24,Press francés,3,8,105.0,RPE 8
171,2026-06-10,Remo con barra,4,2,133.5,RPE 8
172,2026-05-04,Elevaciones laterales,1,9,41.0,Fácil
173,2026-02-12,Peso muerto,3,2,62.0,Fácil
174,2025-07-19,Curl de bíceps,1,5,75.5,RPE 9
175,2026-04-16,Fondos lastrados,5,13,58.5,Pesado
176,2025-12-16,Remo con barra,2,12,123.5,RPE 8
177,2026-05-06,Curl de bíceps,2,7,117.5,Fallo cerca
178,2025-09-20,Fondos lastrados,5,7,75.0,Normal
179,2025-12-28,Curl de bíceps,4,12,106.0,Fallo cerca
180,2026-05-27,Press militar,5,3,103.5,Fácil
181,2026-02-03,Press militar,1,6,100.5,RPE 8
182,2026-07-04,Press francés,5,4,143.0,RPE 8
183,2025-12-15,Press militar,3,9,13.5,Buena técnica
184,2026-04-04,Press militar,5,6,107.0,Buena técnica
185,2026-01-01,Fondos lastrados,5,5,97.5,Pesado
186,2025-12-24,Peso muerto,1,3,38.5,Fallo cerca
187,2026-03-31,Hip thrust,2,2,32.0,Buena técnica
188,2026-06-14,Dominadas lastradas,1,12,142.5,Pesado
189,2026-01-09,Curl de bíceps,4,3,142.0,RPE 9
190,2025-12-20,Fondos lastrados,4,2,81.5,RPE 8
191,2025-12-05,Press de banca,2,12,17.5,Buen estímulo
192,2026-04-23,Press de banca,5,8,45.5,Normal
193,2026-03-16,Elevaciones laterales,3,2,125.5,RPE 9
194,2026-01-14,Elevaciones laterales,4,14,117.0,Fallo cerca
195,2025-08-13,Peso muerto,3,8,106.0,Normal
196,2026-01-19,Sentadilla búlgara,4,5,79.0,Fácil
197,2026-07-06,Remo con barra,1,5,62.5,Buena técnica
198,2025-11-05,Sentadilla,4,2,149.5,Fallo cerca
199,2025-11-14,Press de banca,4,10,22.0,Fallo cerca
200,2025-10-31,Press francés,5,10,107.5,Buen estímulo
201,2026-04-07,Elevaciones laterales,4,12,143.5,Normal
202,2026-04-30,Elevaciones laterales,4,5,60.5,Pesado
203,2026-03-25,Peso muerto,1,10,61.0,Buen estímulo
204,2025-11-13,Curl de bíceps,3,3,124.5,Normal
205,2025-10-04,Press de banca,5,5,24.0,Pesado
206,2025-12-10,Press militar,3,12,87.5,Pesado
207,2026-01-03,Sentadilla,1,13,41.5,Fácil
208,2026-04-10,Press de banca,3,1,100.5,Pesado
209,2026-07-12,Hip thrust,3,9,146.0,Buena técnica
210,2025-10-04,Curl de bíceps,5,3,61.5,RPE 9
211,2025-08-04,Curl de bíceps,2,10,10.5,Buena técnica
212,2025-10-04,Dominadas lastradas,3,3,17.5,Buena técnica
213,2025-08-24,Hip thrust,4,3,124.0,Fallo cerca
214,2025-12-14,Peso muerto,5,2,65.5,Normal
215,2025-10-15,Dominadas lastradas,4,2,130.0,Fácil
216,2025-08-05,Press de banca,1,3,59.0,RPE 8
217,2026-01-13,Sentadilla búlgara,5,11,114.5,Fallo cerca
218,2026-02-15,Dominadas lastradas,4,8,37.5,Buena técnica
219,2025-07-30,Press militar,5,2,117.5,Fallo cerca
220,2025-10-22,Press militar,2,7,24.0,Fácil
221,2026-05-07,Elevaciones laterales,5,4,104.0,RPE 8
222,2026-02-06,Press de banca,4,1,32.0,Pesado
223,2026-05-04,Sentadilla búlgara,5,9,33.0,Normal
224,2025-09-23,Press de banca,1,7,142.0,Buen estímulo
225,2025-12-15,Sentadilla,3,10,35.0,Pesado
226,2026-02-10,Remo con barra,4,9,119.0,Pesado
227,2025-10-12,Dominadas lastradas,2,7,92.5,Fallo cerca
228,2025-12-08,Fondos lastrados,5,9,143.5,Fácil
229,2025-11-18,Peso muerto,1,8,31.5,Pesado
230,2026-07-18,Press francés,4,3,30.5,Fácil
231,2025-09-18,Press francés,3,2,98.0,Normal
232,2026-06-19,Elevaciones laterales,4,3,92.5,Buen estímulo
233,2026-06-02,Dominadas lastradas,1,1,70.5,Buena técnica
234,2025-10-26,Sentadilla búlgara,1,8,67.0,Pesado
235,2026-05-20,Sentadilla,2,9,115.5,Pesado
236,2026-07-13,Hip thrust,5,9,132.5,RPE 8
237,2025-08-10,Fondos lastrados,1,12,116.0,Fácil
238,2025-10-04,Fondos lastrados,3,4,23.5,Fácil
239,2026-04-19,Press de banca,2,9,20.0,RPE 9
240,2026-02-15,Elevaciones laterales,4,5,69.0,Pesado
241,2026-04-03,Press francés,1,2,69.0,Buen estímulo
242,2025-08-02,Press militar,2,13,140.5,Normal
243,2026-05-25,Curl de bíceps,4,6,85.5,RPE 8
244,2025-07-21,Press francés,3,5,26.5,RPE 9
245,2026-06-16,Sentadilla,4,2,107.5,Fácil
246,2025-08-30,Press francés,5,5,149.0,Pesado
247,2026-03-11,Elevaciones laterales,3,11,123.5,RPE 9
248,2026-03-21,Press militar,4,5,146.5,Normal
249,2026-04-05,Peso muerto,3,7,132.0,Buena técnica
250,2026-03-03,Remo con barra,2,12,127.0,Fallo cerca
251,2026-06-19,Fondos lastrados,4,6,134.5,Fallo cerca
252,2026-06-06,Peso muerto,3,9,113.0,RPE 8
253,2025-10-08,Elevaciones laterales,1,14,65.5,Fácil
254,2025-10-17,Curl de bíceps,2,6,79.0,RPE 9
255,2026-04-14,Press de banca,5,13,85.0,Normal
256,2026-03-20,Fondos lastrados,5,12,84.0,RPE 8
257,2026-04-13,Elevaciones laterales,2,8,114.5,Pesado
258,2026-05-01,Hip thrust,4,13,100.0,Fallo cerca
259,2026-06-11,Remo con barra,5,14,42.0,Fácil
260,2025-11-10,Elevaciones laterales,1,6,128.5,Buen estímulo
261,2025-08-12,Dominadas lastradas,1,3,135.5,Pesado
262,2026-01-02,Remo con barra,4,6,87.0,Fallo cerca
263,2025-12-08,Sentadilla búlgara,2,6,52.5,Buena técnica
264,2026-04-03,Press francés,5,1,84.0,Buena técnica
265,2026-06-17,Peso muerto,2,4,142.5,Buen estímulo
266,2026-05-30,Press francés,2,8,130.0,Fallo cerca
267,2025-10-31,Sentadilla búlgara,2,10,123.5,Fácil
268,2026-06-06,Curl de bíceps,2,13,41.0,Pesado
269,2026-01-23,Press francés,3,11,118.0,Buena técnica
270,2025-08-12,Elevaciones laterales,1,10,35.5,Buen estímulo
271,2025-11-19,Elevaciones laterales,4,15,102.0,Buen estímulo
272,2026-02-21,Curl de bíceps,4,11,39.0,Buen estímulo
273,2026-02-23,Press francés,5,10,64.0,RPE 8
274,2026-02-22,Press de banca,4,3,63.5,Buena técnica
275,2026-05-23,Sentadilla búlgara,5,6,27.0,RPE 9
276,2025-10-05,Sentadilla,1,13,142.0,Fácil
277,2025-12-14,Hip thrust,1,15,23.0,Pesado
278,2026-03-21,Press francés,1,13,13.5,RPE 9
279,2026-05-10,Elevaciones laterales,2,4,85.0,Normal
280,2026-01-04,Press militar,5,12,134.5,RPE 9
281,2025-07-18,Dominadas lastradas,3,9,70.0,Fallo cerca
282,2025-07-29,Press francés,3,12,115.0,Normal
283,2026-02-27,Dominadas lastradas,3,7,92.5,RPE 8
284,2026-04-15,Peso muerto,2,9,112.0,Pesado
285,2025-11-16,Dominadas lastradas,4,14,35.5,Buena técnica
286,2025-10-17,Sentadilla búlgara,5,7,13.0,Buena técnica
287,2025-12-28,Curl de bíceps,2,9,148.0,Fácil
288,2025-12-14,Sentadilla búlgara,3,1,97.5,Pesado
289,2025-09-09,Elevaciones laterales,4,2,143.0,Buena técnica
290,2026-01-16,Remo con barra,4,11,110.5,Fácil
291,2025-12-03,Peso muerto,4,7,66.5,Fácil
292,2026-02-16,Sentadilla búlgara,1,9,42.5,Fácil
293,2025-11-18,Peso muerto,5,8,55.5,Normal
294,2025-09-17,Press de banca,4,13,119.0,Buen estímulo
295,2026-02-08,Sentadilla,2,5,52.5,Normal
296,2026-02-01,Press militar,1,3,57.0,RPE 9
297,2026-07-05,Remo con barra,5,3,10.0,Pesado
298,2025-07-31,Fondos lastrados,3,3,18.0,Buen estímulo
299,2025-11-04,Dominadas lastradas,5,14,43.0,RPE 9
300,2026-05-20,Curl de bíceps,3,6,69.0,Buen estímulo
301,2025-10-29,Press de banca,2,4,47.0,Normal
302,2026-04-05,Press militar,1,6,67.5,Fallo cerca
303,2025-07-18,Peso muerto,1,4,64.5,Buena técnica
304,2025-12-22,Peso muerto,5,8,92.5,Pesado
305,2025-07-26,Press francés,5,15,65.0,Buena técnica
306,2026-05-15,Press de banca,3,15,85.5,Buen estímulo
307,2025-07-25,Fondos lastrados,1,8,45.0,Fallo cerca
308,2026-05-07,Hip thrust,5,8,10.5,Fallo cerca
309,2025-09-22,Sentadilla,4,2,49.0,Normal
310,2025-10-01,Fondos lastrados,1,13,139.0,Normal
311,2025-10-28,Hip thrust,1,14,31.5,Buena técnica
312,2025-12-04,Fondos lastrados,1,14,47.5,RPE 8
313,2026-04-17,Press militar,4,3,108.0,RPE 8
314,2026-02-18,Peso muerto,2,8,41.0,RPE 9
315,2026-05-24,Remo con barra,4,10,147.0,Pesado
316,2025-09-09,Sentadilla,1,8,109.0,Buen estímulo
317,2025-10-04,Peso muerto,5,10,45.5,Buen estímulo
318,2026-01-02,Fondos lastrados,3,6,72.5,Normal
319,2025-11-25,Dominadas lastradas,5,7,40.0,Fallo cerca
320,2026-05-09,Peso muerto,3,10,18.0,Buena técnica
321,2025-08-20,Remo con barra,4,3,147.0,RPE 9
322,2025-12-15,Sentadilla búlgara,2,5,82.5,Normal
323,2025-08-05,Press de banca,2,1,136.0,Buen estímulo
324,2025-12-27,Press francés,4,11,78.0,Fácil
325,2025-10-27,Hip thrust,2,10,25.0,RPE 8
326,2026-03-09,Press francés,1,9,19.5,Buena técnica
327,2026-03-22,Press de banca,1,8,49.5,Fallo cerca
328,2026-07-10,Press francés,5,10,82.0,RPE 9
329,2026-03-05,Sentadilla,5,11,137.5,Buen estímulo
330,2025-08-04,Fondos lastrados,3,13,25.0,RPE 9
331,2025-11-06,Press de banca,5,15,91.0,Buen estímulo
332,2026-05-10,Press militar,3,15,60.5,Buena técnica
333,2025-10-31,Fondos lastrados,2,4,82.0,Buena técnica
334,2026-07-07,Curl de bíceps,3,7,77.0,Buena técnica
335,2026-04-28,Press francés,3,1,93.0,Buen estímulo
336,2026-05-18,Press francés,2,3,116.5,RPE 9
337,2026-07-16,Sentadilla búlgara,5,12,128.0,Fallo cerca
338,2026-04-01,Sentadilla,1,15,143.0,RPE 9
339,2025-08-04,Dominadas lastradas,2,15,126.5,RPE 8
340,2025-12-26,Curl de bíceps,3,11,64.0,Pesado
341,2026-02-25,Peso muerto,5,4,144.5,RPE 8
342,2025-08-08,Remo con barra,2,7,58.0,Fácil
343,2026-05-21,Press de banca,5,13,119.0,Fallo cerca
344,2026-05-01,Remo con barra,3,11,59.0,Buena técnica
345,2026-05-30,Elevaciones laterales,1,11,112.5,RPE 8
346,2026-05-17,Elevaciones laterales,5,4,63.5,Normal
347,2026-03-11,Peso muerto,2,2,135.5,RPE 8
348,2025-11-01,Press francés,4,5,123.5,RPE 9
349,2026-05-13,Press militar,3,4,86.0,Fácil
350,2025-11-04,Fondos lastrados,2,12,136.5,Fallo cerca
351,2026-05-20,Curl de bíceps,1,3,50.5,Buen estímulo
352,2025-11-01,Fondos lastrados,2,1,77.5,Fácil
353,2026-06-22,Hip thrust,3,2,117.0,Buen estímulo
354,2025-08-08,Press de banca,4,1,119.0,Normal
355,2025-10-25,Peso muerto,2,9,51.5,Fallo cerca
356,2025-11-29,Peso muerto,4,6,89.0,Pesado
357,2026-01-10,Sentadilla,4,4,132.0,Buena técnica
358,2025-07-26,Peso muerto,4,12,27.5,RPE 9
359,2026-05-13,Peso muerto,5,13,120.5,Pesado
360,2025-10-02,Peso muerto,5,8,52.0,Fallo cerca
361,2026-07-05,Hip thrust,3,15,32.5,Fallo cerca
362,2026-05-29,Elevaciones laterales,4,2,94.5,Fallo cerca
363,2026-04-12,Sentadilla,1,7,124.0,Fácil
364,2026-02-02,Peso muerto,2,7,138.0,Pesado
365,2025-10-25,Hip thrust,5,2,30.0,RPE 9
366,2026-02-03,Press militar,5,5,34.0,Buena técnica
367,2025-10-22,Fondos lastrados,4,4,53.0,RPE 8
368,2026-03-22,Sentadilla,5,3,31.0,RPE 8
369,2025-10-16,Dominadas lastradas,5,12,91.5,Buena técnica
370,2026-01-11,Remo con barra,3,6,96.0,Buen estímulo
371,2026-02-25,Press francés,1,9,50.5,Buena técnica
372,2026-06-05,Press militar,2,2,46.0,Fácil
373,2026-02-03,Press de banca,5,15,53.0,Fácil
374,2026-07-02,Sentadilla,4,4,114.5,Buena técnica
375,2026-06-10,Press francés,2,13,146.0,Normal
376,2025-12-15,Sentadilla búlgara,2,11,131.0,RPE 9
377,2026-01-16,Press francés,4,4,135.0,RPE 9
378,2026-05-24,Dominadas lastradas,3,6,65.0,Normal
379,2026-03-09,Hip thrust,4,4,78.5,Normal
380,2026-07-08,Peso muerto,1,15,40.5,Fácil
381,2026-04-05,Press francés,1,11,61.5,Normal
382,2026-04-21,Sentadilla búlgara,2,15,106.0,Fallo cerca
383,2025-11-24,Remo con barra,3,1,28.5,RPE 8
384,2025-09-07,Fondos lastrados,5,1,149.5,Fallo cerca
385,2025-11-21,Remo con barra,4,11,134.0,RPE 8
386,2026-01-16,Dominadas lastradas,5,6,71.5,Pesado
387,2025-10-26,Dominadas lastradas,4,6,78.5,RPE 8
388,2025-11-06,Peso muerto,5,13,122.0,RPE 9
389,2026-01-10,Fondos lastrados,1,6,95.0,Buen estímulo
390,2025-11-26,Dominadas lastradas,5,4,70.0,Fácil
391,2026-01-07,Remo con barra,2,5,101.5,Buena técnica
392,2025-11-15,Curl de bíceps,1,14,100.5,Buen estímulo
393,2025-10-26,Elevaciones laterales,4,5,142.5,RPE 9
394,2025-08-13,Sentadilla búlgara,3,15,35.0,RPE 9
395,2025-10-11,Curl de bíceps,4,14,140.0,Fácil
396,2026-02-14,Peso muerto,3,3,55.5,RPE 8
397,2026-01-18,Elevaciones laterales,4,3,34.0,RPE 8
398,2026-06-16,Remo con barra,1,3,56.0,RPE 9
399,2026-04-24,Elevaciones laterales,4,4,10.0,Normal
400,2026-03-20,Press de banca,1,13,73.0,Buen estímulo
401,2025-12-08,Elevaciones laterales,4,8,80.0,Normal
402,2026-06-05,Curl de bíceps,4,10,75.0,Normal
403,2026-02-18,Press de banca,4,4,89.0,Pesado
404,2026-04-13,Peso muerto,3,1,47.0,Pesado
405,2026-01-01,Press militar,2,13,84.0,Buena técnica
406,2026-03-15,Sentadilla búlgara,2,11,69.5,RPE 9
407,2025-11-11,Elevaciones laterales,4,9,126.0,Buen estímulo
408,2025-08-23,Elevaciones laterales,5,13,16.0,RPE 9
409,2026-04-27,Sentadilla búlgara,5,6,107.5,Pesado
410,2026-02-19,Elevaciones laterales,2,14,140.0,Fallo cerca
411,2026-06-19,Curl de bíceps,2,2,46.0,Normal
412,2025-08-28,Elevaciones laterales,5,12,116.0,Fácil
413,2025-09-07,Dominadas lastradas,2,15,71.0,Fallo cerca
414,2025-08-28,Fondos lastrados,1,14,129.0,RPE 9
415,2026-06-08,Dominadas lastradas,1,11,80.5,Pesado
416,2026-06-08,Fondos lastrados,4,14,35.5,RPE 9
417,2025-08-16,Peso muerto,1,8,122.5,Normal
418,2025-09-15,Elevaciones laterales,5,9,133.5,Buena técnica
419,2026-07-16,Remo con barra,2,8,86.5,Buen estímulo
420,2025-12-31,Sentadilla,1,12,89.0,Buen estímulo
421,2025-09-07,Sentadilla,4,1,120.5,Buen estímulo
422,2025-09-30,Sentadilla,4,15,133.0,Pesado
423,2026-03-10,Curl de bíceps,4,12,89.5,Fallo cerca
424,2025-08-02,Curl de bíceps,5,15,141.5,Fallo cerca
425,2025-08-03,Sentadilla,3,13,34.5,Pesado
426,2026-05-25,Press militar,3,1,130.0,Fallo cerca
427,2026-06-09,Press militar,4,6,117.5,RPE 9
428,2026-06-17,Sentadilla,5,7,40.5,Fallo cerca
429,2025-12-17,Press de banca,5,10,10.0,Pesado
430,2026-03-11,Press de banca,1,4,131.5,Pesado
431,2026-01-04,Sentadilla búlgara,5,5,127.5,RPE 9
432,2025-10-29,Remo con barra,1,6,115.0,Normal
433,2026-03-09,Curl de bíceps,3,12,59.0,Normal
434,2026-05-25,Peso muerto,5,15,90.5,Fallo cerca
435,2025-07-27,Hip thrust,3,15,38.0,Buena técnica
436,2026-03-13,Press francés,4,5,45.0,Pesado
437,2025-11-07,Remo con barra,1,13,10.5,Buen estímulo
438,2026-01-30,Curl de bíceps,4,1,95.5,RPE 9
439,2025-12-09,Press militar,4,3,95.5,Fallo cerca
440,2026-03-16,Press de banca,4,3,118.5,RPE 8
441,2025-09-20,Press francés,3,9,21.5,Fallo cerca
442,2026-03-18,Press de banca,3,15,141.0,Normal
443,2025-12-03,Fondos lastrados,4,4,130.5,Buena técnica
444,2025-12-19,Hip thrust,3,9,104.0,Fallo cerca
445,2026-05-16,Press francés,1,7,147.5,RPE 9
446,2026-04-22,Hip thrust,1,6,109.0,Fácil
447,2026-05-08,Press militar,2,12,17.0,RPE 9
448,2026-01-25,Peso muerto,2,15,140.0,RPE 9
449,2025-11-07,Hip thrust,1,13,36.5,Fallo cerca
450,2026-04-10,Press militar,2,2,79.5,RPE 9
451,2025-08-23,Press francés,4,11,88.0,RPE 8
452,2026-05-16,Fondos lastrados,1,8,18.5,Buen estímulo
453,2026-05-01,Dominadas lastradas,5,3,33.5,Fácil
454,2025-10-22,Curl de bíceps,1,10,29.0,Buen estímulo
455,2026-01-06,Press militar,4,3,133.0,Fácil
456,2026-02-20,Peso muerto,4,7,27.5,Pesado
